Timestamp,Temp_degC,Temp_degF,RH_percent,Moisture_1,Moisture_2,Moisture_3,WateringEventPump1,WateringEventPump2,WateringEventPump3
2021-12-08 15:00:57,23.6,74.5,33.16,663,707,684,0,0,0
2021-12-08 15:01:21,23.6,74.5,33.16,663,732,683,0,0,0
2021-12-08 15:01:31,23.7,74.7,32.76,3940,749,674,0,0,0
2021-12-08 15:01:42,23.8,74.8,32.85,662,703,675,0,0,0
2021-12-08 15:01:52,23.8,74.8,32.79,660,733,697,0,0,0
2021-12-08 15:02:03,23.9,74.9,32.71,3937,720,684,0,0,0
2021-12-08 15:02:13,23.9,74.9,32.86,666,729,654,0,0,0
2021-12-08 15:02:24,23.9,75.0,32.74,664,724,685,0,0,0
2021-12-08 15:02:34,24.0,75.2,32.35,651,732,685,0,0,0
2021-12-08 15:02:44,24.1,75.4,32.40,664,738,674,0,0,0
2021-12-08 15:02:55,24.1,75.4,32.44,663,747,680,0,0,0
2021-12-08 15:03:05,24.2,75.6,32.30,665,715,687,0,0,0
2021-12-08 15:03:16,24.2,75.6,32.08,663,732,668,0,0,0
2021-12-08 15:03:26,24.2,75.6,32.12,662,724,667,0,0,0
2021-12-08 15:03:37,24.3,75.7,32.03,664,757,679,0,0,0
2021-12-08 15:03:47,24.3,75.7,32.12,663,727,665,0,0,0
2021-12-08 15:03:58,24.2,75.6,31.88,663,718,687,0,0,0
2021-12-08 15:04:08,24.2,75.6,31.80,647,717,660,0,0,0
2021-12-08 15:04:18,24.2,75.6,31.81,663,731,672,0,0,0
2021-12-08 15:04:29,24.2,75.5,31.96,661,736,656,0,0,0
2021-12-08 15:04:39,24.2,75.5,31.90,665,723,717,0,0,0
2021-12-08 15:04:50,24.1,75.5,32.02,663,720,671,0,0,0
2021-12-08 15:05:00,24.1,75.4,31.83,665,752,3973,0,0,0
2021-12-08 15:05:11,24.0,75.2,31.90,667,743,3976,0,0,0
2021-12-08 15:05:21,24.0,75.2,31.88,662,707,682,0,0,0
2021-12-08 15:05:31,24.0,75.2,31.94,662,3985,668,0,0,0
2021-12-08 15:05:42,23.9,75.1,31.98,662,728,693,0,0,0
2021-12-08 15:05:52,23.9,75.0,32.22,661,730,679,0,0,0
2021-12-08 15:06:03,23.8,74.9,32.31,663,710,674,0,0,0
2021-12-08 15:06:13,23.8,74.9,32.49,662,732,660,0,0,0
2021-12-08 15:06:24,23.8,74.8,32.48,3939,723,665,0,0,0
2021-12-08 15:06:34,23.8,74.8,32.49,664,722,655,0,0,0
2021-12-08 15:06:45,23.6,74.5,32.54,662,723,675,0,0,0
2021-12-08 15:06:55,23.6,74.5,32.69,661,716,677,0,0,0
2021-12-08 15:07:05,23.6,74.5,32.62,665,735,681,0,0,0
2021-12-08 15:07:16,23.6,74.4,32.87,662,744,667,0,0,0
2021-12-08 15:07:26,23.5,74.3,33.02,664,708,672,0,0,0
2021-12-08 15:07:37,23.5,74.3,32.89,664,713,670,0,0,0
2021-12-08 15:07:47,23.5,74.3,33.05,662,4017,683,0,0,0
2021-12-08 15:07:58,23.4,74.2,33.17,649,731,669,0,0,0
2021-12-08 15:08:08,23.4,74.1,33.09,665,730,691,0,0,0
2021-12-08 15:08:19,23.4,74.1,33.05,648,743,668,0,0,0
2021-12-08 15:08:29,23.3,74.0,32.92,662,720,685,0,0,0
2021-12-08 15:08:39,23.4,74.0,33.21,658,705,681,0,0,0
2021-12-08 15:08:50,23.4,74.1,33.22,663,723,3984,0,0,0
2021-12-08 15:09:00,23.3,73.9,33.16,662,710,665,0,0,0
2021-12-08 15:09:11,23.2,73.8,33.30,661,721,660,0,0,0
2021-12-08 15:09:21,23.2,73.8,33.53,662,745,678,0,0,0
2021-12-08 15:09:32,23.2,73.7,33.39,663,737,675,0,0,0
2021-12-08 15:09:42,23.1,73.7,33.51,660,724,662,0,0,0
2021-12-08 15:09:53,23.1,73.6,33.59,661,728,697,0,0,0
2021-12-08 15:10:03,23.1,73.6,33.63,662,705,688,0,0,0
2021-12-08 15:10:13,23.1,73.5,33.78,662,733,3934,0,0,0
2021-12-08 15:10:24,23.1,73.5,33.52,661,724,692,0,0,0
2021-12-08 15:10:34,23.1,73.5,33.67,662,737,694,0,0,0
2021-12-08 15:10:45,23.1,73.5,33.78,651,715,681,0,0,0
2021-12-08 15:10:55,23.0,73.4,33.82,662,730,683,0,0,0
2021-12-08 15:11:06,23.0,73.3,33.93,665,716,686,0,0,0
2021-12-08 15:11:16,22.9,73.3,33.87,665,746,678,0,0,0
2021-12-08 15:11:27,22.9,73.3,33.97,661,718,664,0,0,0
2021-12-08 15:11:37,22.9,73.2,33.96,661,703,678,0,0,0
2021-12-08 15:11:47,22.9,73.2,34.08,662,735,684,0,0,0
2021-12-08 15:11:58,22.9,73.2,34.12,3939,732,677,0,0,0
2021-12-08 15:12:08,22.9,73.2,33.97,665,722,679,0,0,0
2021-12-08 15:12:19,22.9,73.1,34.22,661,729,672,0,0,0
2021-12-08 15:12:29,22.9,73.1,34.04,661,4033,3965,0,0,0
2021-12-08 15:12:40,22.8,73.1,34.03,662,717,697,0,0,0
2021-12-08 15:12:50,22.8,73.1,34.04,661,726,691,0,0,0
2021-12-08 15:13:01,22.8,73.0,34.13,661,707,680,0,0,0
2021-12-08 15:13:11,22.8,73.0,34.34,665,735,682,0,0,0
2021-12-08 15:13:21,22.7,72.9,34.13,662,718,666,0,0,0
2021-12-08 15:13:32,22.7,72.9,34.25,661,694,679,0,0,0
2021-12-08 15:13:42,22.7,72.9,34.41,663,712,659,0,0,0
2021-12-08 15:13:53,22.7,72.9,34.29,3937,711,670,0,0,0
2021-12-08 15:14:03,22.7,72.8,34.38,663,700,3951,0,0,0
2021-12-08 15:14:14,22.6,72.7,34.21,659,721,671,0,0,0
2021-12-08 15:14:24,22.6,72.7,34.42,663,747,668,0,0,0
2021-12-08 15:14:34,22.6,72.8,34.49,663,726,680,0,0,0
2021-12-08 15:14:45,22.6,72.7,34.45,664,3981,660,0,0,0
2021-12-08 15:14:55,22.6,72.7,34.46,663,738,699,0,0,0
2021-12-08 15:15:06,22.6,72.7,34.27,660,747,678,0,0,0
2021-12-08 15:15:16,22.6,72.6,34.52,663,732,687,0,0,0
2021-12-08 15:15:27,22.6,72.6,34.54,664,740,689,0,0,0
2021-12-08 15:15:37,22.5,72.6,34.70,664,740,695,0,0,0
2021-12-08 15:15:48,22.6,72.6,34.51,662,738,690,0,0,0
2021-12-08 15:15:58,22.5,72.6,34.42,660,746,649,0,0,0
2021-12-08 15:16:08,22.5,72.6,34.35,663,725,676,0,0,0
2021-12-08 15:16:19,22.5,72.5,34.56,660,728,684,0,0,0
2021-12-08 15:16:29,22.5,72.5,34.81,660,706,682,0,0,0
2021-12-08 15:16:40,22.5,72.5,34.84,662,709,668,0,0,0
2021-12-08 15:16:50,22.5,72.5,34.80,663,734,685,0,0,0
2021-12-08 15:17:01,22.5,72.5,34.88,661,732,677,0,0,0
2021-12-08 15:17:11,22.4,72.4,34.53,664,735,685,0,0,0
2021-12-08 15:17:22,22.4,72.3,34.59,663,747,688,0,0,0
2021-12-08 15:17:32,22.4,72.3,34.75,3940,733,695,0,0,0
2021-12-08 15:17:42,22.4,72.3,34.84,663,726,660,0,0,0
2021-12-08 15:17:53,22.4,72.3,34.99,664,712,685,0,0,0
2021-12-08 15:18:03,22.4,72.3,34.64,652,739,667,0,0,0
2021-12-08 15:18:14,22.4,72.4,34.96,661,710,696,0,0,0
2021-12-08 15:18:24,22.4,72.3,35.03,660,742,684,0,0,0
2021-12-08 15:18:35,22.4,72.3,34.85,3940,723,685,0,0,0
2021-12-08 15:18:45,22.4,72.3,34.83,664,738,672,0,0,0
2021-12-08 15:18:56,22.4,72.3,34.78,664,743,687,0,0,0
2021-12-08 15:19:06,22.4,72.3,34.99,664,744,703,0,0,0
2021-12-08 15:19:16,22.4,72.3,35.01,662,723,663,0,0,0
2021-12-08 15:19:27,22.4,72.2,34.96,662,732,689,0,0,0
2021-12-08 15:19:37,22.4,72.2,34.96,662,724,708,0,0,0
2021-12-08 15:19:48,22.4,72.3,34.75,647,703,686,0,0,0
2021-12-08 15:19:58,22.3,72.2,35.12,660,690,661,0,0,0
2021-12-08 15:20:09,22.4,72.2,34.92,659,701,690,0,0,0
2021-12-08 15:20:19,22.3,72.2,34.97,661,742,677,0,0,0
2021-12-08 15:20:30,22.3,72.2,35.02,661,730,670,0,0,0
2021-12-08 15:20:40,22.3,72.2,34.95,660,681,683,0,0,0
2021-12-08 15:20:50,22.3,72.2,34.99,661,715,684,0,0,0
2021-12-08 15:21:01,22.3,72.1,34.94,660,723,679,0,0,0
2021-12-08 15:21:11,22.3,72.1,34.97,663,4005,658,0,0,0
2021-12-08 15:21:22,22.3,72.2,35.08,3941,727,696,0,0,0
2021-12-08 15:21:32,22.3,72.1,35.00,660,736,701,0,0,0
2021-12-08 15:21:43,22.3,72.1,35.18,659,714,703,0,0,0
2021-12-08 15:21:53,22.3,72.1,35.18,661,723,680,0,0,0
2021-12-08 15:22:04,22.3,72.1,35.10,661,736,639,0,0,0
2021-12-08 15:22:14,22.3,72.1,35.18,662,722,674,0,0,0
2021-12-08 15:22:24,22.3,72.1,35.17,662,703,684,0,0,0
2021-12-08 15:22:35,22.3,72.2,35.14,662,696,675,0,0,0
2021-12-08 15:22:45,22.4,72.3,34.99,659,741,682,0,0,0
2021-12-08 15:22:56,22.4,72.3,35.01,665,730,705,0,0,0
2021-12-08 15:23:06,22.4,72.3,35.03,661,731,682,0,0,0
2021-12-08 15:23:17,22.4,72.3,35.12,662,694,702,0,0,0
2021-12-08 15:23:27,22.4,72.3,35.23,661,710,687,0,0,0
2021-12-08 15:23:37,22.4,72.3,35.31,662,721,681,0,0,0
2021-12-08 15:23:48,22.4,72.3,35.18,664,4002,671,0,0,0
2021-12-08 15:23:58,22.5,72.4,35.08,662,718,684,0,0,0
2021-12-08 15:24:09,22.5,72.5,34.97,661,733,678,0,0,0
2021-12-08 15:24:19,22.5,72.6,34.76,664,724,686,0,0,0
2021-12-08 15:24:30,22.5,72.6,34.75,661,742,672,0,0,0
2021-12-08 15:24:40,22.6,72.7,34.81,660,717,685,0,0,0
2021-12-08 15:24:51,22.7,72.8,34.67,661,710,652,0,0,0
2021-12-08 15:25:01,22.7,72.9,34.49,660,740,685,0,0,0
2021-12-08 15:25:11,22.8,73.0,34.58,647,722,669,0,0,0
2021-12-08 15:25:22,22.8,73.1,34.50,662,724,691,0,0,0
2021-12-08 15:25:32,22.9,73.2,34.16,660,746,679,0,0,0
2021-12-08 15:25:43,22.9,73.2,34.34,662,721,698,0,0,0
2021-12-08 15:25:53,22.9,73.3,34.14,664,744,664,0,0,0
2021-12-08 15:26:04,23.0,73.4,34.07,663,710,672,0,0,0
2021-12-08 15:26:14,23.0,73.4,33.93,660,715,674,0,0,0
2021-12-08 15:26:25,23.1,73.6,33.95,662,724,3944,0,0,0
2021-12-08 15:26:35,23.1,73.6,33.89,664,741,691,0,0,0
2021-12-08 15:26:45,23.1,73.7,33.44,662,4021,673,0,0,0
2021-12-08 15:26:56,23.2,73.8,33.73,664,756,668,0,0,0
2021-12-08 15:27:06,23.3,73.9,33.50,661,743,673,0,0,0
2021-12-08 15:27:17,23.4,74.1,33.36,647,737,688,0,0,0
2021-12-08 15:27:27,23.4,74.1,33.19,663,734,680,0,0,0
2021-12-08 15:27:38,23.4,74.1,33.24,662,733,673,0,0,0
2021-12-08 15:27:48,23.4,74.2,33.50,660,732,670,0,0,0
2021-12-08 15:27:59,23.4,74.2,33.29,661,717,689,0,0,0
2021-12-08 15:28:09,23.5,74.3,33.29,652,726,692,0,0,0
2021-12-08 15:28:19,23.5,74.3,33.33,663,4006,689,0,0,0
2021-12-08 15:28:30,23.5,74.3,33.28,662,737,681,0,0,0
2021-12-08 15:28:40,23.6,74.5,32.78,649,744,673,0,0,0
2021-12-08 15:28:51,23.6,74.5,33.03,661,714,683,0,0,0
2021-12-08 15:29:01,23.6,74.5,32.96,661,717,678,0,0,0
2021-12-08 15:29:12,23.6,74.5,32.93,662,741,687,0,0,0
2021-12-08 15:29:22,23.7,74.6,33.06,660,721,692,0,0,0
2021-12-08 15:29:33,23.7,74.6,32.88,661,729,681,0,0,0
2021-12-08 15:29:43,23.7,74.7,32.94,662,691,675,0,0,0
2021-12-08 15:29:53,23.8,74.8,32.97,662,744,688,0,0,0
2021-12-08 15:30:04,23.9,75.0,32.85,660,731,672,0,0,0
2021-12-08 15:30:14,23.9,75.1,32.76,660,717,684,0,0,0
2021-12-08 15:30:25,24.0,75.3,32.48,662,723,686,0,0,0
2021-12-08 15:30:35,24.1,75.4,32.53,660,701,670,0,0,0
2021-12-08 15:30:46,24.2,75.5,32.52,661,713,660,0,0,0
2021-12-08 15:30:56,24.2,75.5,32.37,3935,714,678,0,0,0
2021-12-08 15:31:07,24.2,75.6,32.33,664,4036,679,0,0,0
2021-12-08 15:31:17,24.3,75.7,32.17,663,738,687,0,0,0
2021-12-08 15:31:27,24.3,75.7,32.21,663,721,3962,0,0,0
2021-12-08 15:31:38,24.3,75.7,31.97,662,731,697,0,0,0
2021-12-08 15:31:48,24.3,75.7,31.94,663,734,660,0,0,0
2021-12-08 15:31:59,24.2,75.6,31.95,662,698,678,0,0,0
2021-12-08 15:32:09,24.2,75.6,31.78,660,700,664,0,0,0
2021-12-08 15:32:20,24.2,75.6,31.83,662,732,684,0,0,0
2021-12-08 15:32:30,24.1,75.5,31.96,649,732,686,0,0,0
2021-12-08 15:32:40,24.1,75.4,32.06,664,736,665,0,0,0
2021-12-08 15:32:51,24.1,75.4,32.16,661,3998,3953,0,0,0
2021-12-08 15:33:01,24.0,75.3,32.20,665,749,674,0,0,0
2021-12-08 15:33:12,23.9,75.1,32.14,659,701,691,0,0,0
2021-12-08 15:33:22,23.9,75.1,32.28,3940,717,658,0,0,0
2021-12-08 15:33:33,23.9,75.0,32.33,662,731,698,0,0,0
